Quan_Huyen,Khoang_cach_TT_km,Dac_diem_khu_vuc,Loai_dat,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Tuoi_nha_nam,Gia_ban_ty
Gia Lâm,11.79,Gan KCN,Full tho cu,44,9.8,4,1,2,5.5,Duong nhua,1,0,1,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,15,3.92
Hà Đông,14.61,Gan KCN,Full tho cu,46,3.1,4,7,3,12.9,Duong nhua,1,0,1,Tây,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,0,5.16
Thanh Trì,11.83,Khu dau gia,Full tho cu,37,5.5,4,2,2,13.5,Duong nhua,1,0,1,Tây Bắc,Chờ sổ,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Binh thuong,18,4.67
Hai Bà Trưng,3.25,Khu dan cu dong duc,Full tho cu,60,5.3,5,1,1,6.5,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Xuong cap nhe,20,18.59
Chương Mỹ,29.06,Mat duong Quoc lo,Tho cu + Dat vuon,97,8.8,2,2,1,1.6,Duong dat,0,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Xuong cap nhe,16,2.1
Ứng Hòa,48.64,Mat duong Quoc lo,Full tho cu,76,13.7,1,2,2,12.7,Duong nhua,1,1,0,Tây Bắc,Vi bằng,Cao,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,Can sua chua,Nat/Can dap di,23,2.19
Thanh Xuân,6.68,Khu dan cu dong duc,Full tho cu,48,10.6,4,6,4,4.5,Duong be tong,1,0,1,Tây Nam,Chờ sổ,Cao,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,11,11.7
Thanh Trì,14.36,Gan KCN,Full tho cu,82,5.2,1,1,2,8.0,Duong nhua,1,1,0,Tây Bắc,Hợp đồng mua bán,Cao,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,Hay hong,Xuong cap nhe,27,7.67
Quốc Oai,31.49,Trong lang xom,Tho cu + Dat vuon,133,13.0,2,2,1,9.5,Duong nhua,1,1,1,Đông Nam,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,1,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,4,3.19
Cầu Giấy,7.77,Khu dan cu dong duc,Full tho cu,60,7.5,3,2,1,13.2,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,3,17.92
Cầu Giấy,8.63,Khu dan cu dong duc,Full tho cu,67,8.6,2,2,1,6.2,Duong nhua,1,1,1,Nam,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),1,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,6,14.71
Mê Linh,26.77,Trong lang xom,Full tho cu,181,7.6,2,4,5,3.0,Duong dat,0,0,1,Đông Bắc,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Cơ bản,Can sua chua,Binh thuong,30,5.58
Sơn Tây,39.67,Gan lang nghe,Full tho cu,122,11.2,2,4,5,8.6,Duong nhua,1,1,1,Đông Bắc,Hợp đồng mua bán,Trung binh,Kém (Hay trộm cắp),1,1,Không gần gì,Gần Bến xe Bus,Cơ bản,Hay hong,Binh thuong,25,3.3
Đông Anh,17.2,Khu dan cu,Tho cu + Dat vuon,95,7.3,5,4,1,3.5,Duong be tong,1,1,1,Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,1,0,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Binh thuong,17,5.23
Đống Đa,3.7,Khu dan cu dong duc,Full tho cu,44,5.3,3,1,2,4.1,Duong be tong,1,0,1,Đông,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,0,14.76
Ba Đình,2.38,Khu dan cu dong duc,Full tho cu,76,5.8,7,2,1,9.2,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,Hay hong,Xuong cap nhe,16,34.51
Hai Bà Trưng,4.47,Khu dan cu dong duc,Full tho cu,23,10.1,6,1,2,10.4,Duong nhua,1,0,1,Nam,Chờ sổ,Thap,Bình thường,0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Nat/Can dap di,24,5.38
Cầu Giấy,7.36,Khu dan cu dong duc,Full tho cu,51,10.8,4,8,3,6.4,Duong nhua,1,1,1,Tây Bắc,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,7,18.19
Nam Từ Liêm,14.18,Khu dau gia,Full tho cu,68,6.0,1,2,1,6.8,Duong nhua,1,1,0,Tây,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,1,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,14,13.72
Đông Anh,16.19,Gan KCN,Full tho cu,116,3.9,1,1,2,12.7,Duong nhua,1,0,0,Tây Bắc,Chờ sổ,Trung binh,Bình thường,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Binh thuong,24,11.62
Cầu Giấy,6.14,Khu dan cu dong duc,Full tho cu,109,8.2,4,8,6,6.9,Duong nhua,1,1,1,Nam,Hợp đồng mua bán,Cao,Tốt,0,0,Không gần gì,Xa phương tiện CC,Cơ bản,Hay hong,Xuong cap nhe,28,32.98
Ứng Hòa,39.89,Mat duong Quoc lo,Full tho cu,116,11.5,1,1,2,1.9,Duong dat,0,0,0,Nam,Vi bằng,Cao,Tốt,1,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Xuong cap nhe,23,1.74
Ứng Hòa,43.11,Trong lang xom,Tho cu + Dat vuon,110,13.0,1,1,1,6.2,Duong nhua,1,1,0,Đông,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Xuong cap nhe,17,1.88
Phúc Thọ,29.47,Mat duong Quoc lo,Tho cu + Dat vuon,88,14.0,2,3,2,6.5,Duong nhua,1,1,1,Đông,Chờ sổ,Thap,Bình thường,0,1,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,Hay hong,Nat/Can dap di,26,1.55
Sơn Tây,44.36,Trong lang xom,Tho cu + Dat vuon,99,12.4,1,2,2,13.0,Duong nhua,1,1,0,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,1,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,Hay hong,Xuong cap nhe,16,1.57
Đông Anh,16.53,Khu dan cu,Full tho cu,65,11.3,5,4,5,10.3,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,Can sua chua,Xuong cap nhe,21,8.33
Quốc Oai,25.98,Trong lang xom,Tho cu + Dat vuon,157,12.9,1,1,1,4.4,Duong be tong,1,1,0,Đông Bắc,Vi bằng,Cao,Tốt,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Binh thuong,22,4.47
Phúc Thọ,32.16,Trong lang xom,Tho cu + Dat vuon,77,7.1,1,1,2,14.5,Duong nhua,1,1,0,Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,1,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,1,1.35
Mê Linh,28.67,Trong lang xom,Full tho cu,85,11.6,1,2,2,8.2,Duong nhua,1,1,0,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Tốt,0,1,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,10,4.26
Thanh Oai,29.27,Khu dan cu,Full tho cu,62,3.1,2,2,3,7.0,Duong nhua,1,0,1,Tây,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,On dinh,Nat/Can dap di,28,2.94
Thường Tín,29.25,Mat duong Quoc lo,Tho cu + Dat vuon,143,12.1,2,3,1,5.5,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,13,5.67
Đông Anh,22.23,Khu dan cu,Tho cu + Dat vuon,81,5.9,5,7,3,4.4,Duong be tong,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Binh thuong,30,6.33
Sóc Sơn,31.9,Mat duong Quoc lo,Tho cu + Dat vuon,186,5.3,3,4,2,9.9,Duong nhua,1,1,1,Tây Nam,Hợp đồng mua bán,Trung binh,Bình thường,0,1,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,14,5.91
Hoàn Kiếm,1.07,Khu dan cu dong duc,Full tho cu,65,3.7,6,5,6,9.4,Duong nhua,1,0,1,Bắc,Chờ sổ,Cao,Tốt,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Xuong cap nhe,25,38.4
Thanh Oai,25.42,Khu dau gia,Full tho cu,87,8.7,5,1,2,2.4,Duong be tong,0,0,1,Đông Nam,Hợp đồng mua bán,Trung binh,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,14,6.36
Long Biên,14.51,Khu dan cu,Full tho cu,60,11.4,2,3,2,8.6,Duong nhua,1,1,1,Đông Bắc,Vi bằng,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Binh thuong,25,13.33
Hoàng Mai,6.09,Khu dan cu dong duc,Full tho cu,38,9.0,6,1,1,7.6,Duong nhua,1,0,1,Bắc,Chờ sổ,Cao,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Binh thuong,21,6.97
Sơn Tây,45.85,Trong lang xom,Full tho cu,71,6.6,3,1,1,14.8,Duong nhua,1,1,1,Đông Nam,Chờ sổ,Thap,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,Can sua chua,Xuong cap nhe,28,3.16
Long Biên,11.97,Khu dau gia,Full tho cu,58,6.5,1,2,3,11.7,Duong nhua,1,1,0,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Tốt,1,1,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,8,9.05
Hoàng Mai,6.74,Khu dan cu dong duc,Full tho cu,71,5.6,2,2,2,8.0,Duong nhua,1,1,1,Nam,Vi bằng,Thap,Tốt,0,0,Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,13,11.83
Thanh Oai,20.87,Khu dan cu,Full tho cu,41,8.0,2,4,4,6.7,Duong nhua,1,0,1,Tây Bắc,Chờ sổ,Trung binh,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,Can sua chua,Binh thuong,23,2.85
Sóc Sơn,39.51,Trong lang xom,Full tho cu,125,7.4,1,1,2,10.1,Duong nhua,1,1,0,Bắc,Chờ sổ,Trung binh,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Nat/Can dap di,26,3.67
Thanh Oai,27.86,Khu dan cu,Tho cu + Dat vuon,96,8.1,3,3,1,4.2,Duong be tong,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,1,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,Hay hong,Binh thuong,23,3.87
Đông Anh,20.89,Khu dan cu,Full tho cu,102,3.2,3,5,5,12.5,Duong nhua,1,0,1,Bắc,Vi bằng,Cao,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,On dinh,Xuong cap nhe,21,11.2
Thanh Oai,22.12,Khu dau gia,Tho cu + Dat vuon,92,11.4,3,3,2,2.6,Duong be tong,0,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,0,4.0
Chương Mỹ,32.79,Trong lang xom,Full tho cu,161,5.7,3,5,1,7.2,Duong nhua,1,1,1,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,3,7.46
Bắc Từ Liêm,15.64,Gan KCN,Full tho cu,58,7.5,5,9,3,2.7,Duong be tong,0,0,1,Đông Bắc,Chờ sổ,Trung binh,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,5,6.57
Quốc Oai,20.69,Mat duong Quoc lo,Tho cu + Dat vuon,144,12.8,3,3,2,13.2,Duong nhua,1,1,1,Bắc,Vi bằng,Thap,Bình thường,0,1,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Xuong cap nhe,17,5.47
Sơn Tây,40.44,Trong lang xom,Tho cu + Dat vuon,83,10.8,3,3,2,9.9,Duong nhua,1,1,1,Đông,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,Hay hong,Binh thuong,25,2.19
Hoàn Kiếm,0.28,Khu dan cu dong duc,Full tho cu,57,7.3,6,6,5,5.3,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,6,38.04
Long Biên,5.96,Khu dan cu,Tho cu + Dat vuon,68,9.8,5,6,1,14.2,Duong nhua,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,1,Không gần gì,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,6,8.22
Đan Phượng,23.36,Khu dan cu,Full tho cu,51,9.3,5,10,1,1.8,Duong be tong,0,0,1,Tây,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),0,1,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,1,2.97
Cầu Giấy,7.45,Khu dan cu dong duc,Full tho cu,22,4.4,3,4,3,5.9,Duong nhua,1,0,1,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Binh thuong,23,5.99
Hai Bà Trưng,3.77,Khu dan cu dong duc,Full tho cu,87,6.9,6,8,1,9.0,Duong nhua,1,1,1,Bắc,Vi bằng,Cao,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,14,25.94
Đông Anh,15.92,Gan KCN,Full tho cu,90,4.8,1,1,1,11.0,Duong nhua,1,1,0,Nam,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),1,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,7,5.76
Thường Tín,33.0,Mat duong Quoc lo,Full tho cu,184,11.3,3,2,3,8.5,Duong nhua,1,1,1,Đông,Chờ sổ,Trung binh,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,3,13.51
Đông Anh,14.67,Khu dan cu,Full tho cu,63,4.4,4,2,1,1.7,Duong be tong,0,0,1,Bắc,Chờ sổ,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,9,5.5
Nam Từ Liêm,12.37,Khu dan cu,Full tho cu,129,3.6,3,6,5,6.2,Duong nhua,1,0,1,Tây Bắc,Vi bằng,Cao,Bình thường,0,0,Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,7,22.02
Hai Bà Trưng,3.39,Khu dan cu dong duc,Full tho cu,57,9.0,5,1,1,8.2,Duong nhua,1,1,1,Tây Bắc,Chờ sổ,Cao,Bình thường,1,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,6,15.4
Gia Lâm,16.79,Khu dau gia,Full tho cu,62,8.0,3,6,3,11.9,Duong nhua,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,12,8.51
Tây Hồ,4.53,Khu dan cu dong duc,Full tho cu,48,7.4,5,8,8,14.1,Duong nhua,1,0,1,Bắc,Hợp đồng mua bán,Cao,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Xuong cap nhe,25,17.17
Bắc Từ Liêm,11.24,Khu dau gia,Full tho cu,30,7.7,2,4,3,13.6,Duong nhua,1,0,1,Đông,Vi bằng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,2,4.98
Mê Linh,30.53,Trong lang xom,Tho cu + Dat vuon,140,8.6,2,1,1,7.0,Duong nhua,1,1,1,Nam,Vi bằng,Trung binh,Bình thường,0,1,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,26,4.18
Mỹ Đức,52.19,Trong lang xom,Tho cu + Dat vuon,153,9.6,3,4,1,3.9,Duong be tong,1,1,1,Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,1,1.74
Cầu Giấy,7.24,Khu dan cu dong duc,Full tho cu,47,4.2,4,7,8,5.5,Duong nhua,1,0,1,Đông,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,13,11.72
Bắc Từ Liêm,10.67,Khu dan cu,Tho cu + Dat vuon,102,7.1,3,5,2,13.7,Duong nhua,1,1,1,Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Xuong cap nhe,26,10.03
Ứng Hòa,44.37,Gan lang nghe,Full tho cu,79,8.1,3,2,1,7.4,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,1,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,Can sua chua,Xuong cap nhe,17,1.96
Long Biên,14.94,Khu dan cu,Full tho cu,97,7.8,4,7,2,6.8,Duong nhua,1,1,1,Tây,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),0,1,Không gần gì,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Xuong cap nhe,18,14.72
Hà Đông,12.38,Khu dan cu,Full tho cu,103,11.6,2,3,2,5.2,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Xuong cap nhe,16,13.71
Mê Linh,23.27,Gan lang nghe,Tho cu + Dat vuon,40,12.7,1,2,3,14.5,Duong nhua,1,0,0,Đông,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Binh thuong,17,1.17
Phúc Thọ,37.83,Trong lang xom,Full tho cu,138,11.9,1,2,1,8.7,Duong nhua,1,1,0,Đông,Vi bằng,Cao,Rất tốt (Khu VIP),0,1,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Binh thuong,18,3.99
Đan Phượng,20.63,Khu dan cu,Tho cu + Dat vuon,103,6.7,4,1,1,7.3,Duong nhua,1,1,1,Đông Nam,Hợp đồng mua bán,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Xuong cap nhe,19,5.65
Thanh Oai,27.46,Khu dan cu,Full tho cu,45,3.8,3,4,5,2.5,Duong be tong,0,0,1,Đông,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,0,2.39
Mê Linh,29.34,Trong lang xom,Full tho cu,74,10.4,3,3,3,7.6,Duong nhua,1,1,1,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,7,4.58
Long Biên,6.38,Khu dan cu,Full tho cu,59,3.2,1,2,3,9.6,Duong nhua,1,0,0,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,On dinh,Binh thuong,20,11.08
Ba Vì,64.61,Trong lang xom,Tho cu + Dat vuon,251,7.8,2,2,3,12.5,Duong nhua,1,1,1,Nam,Hợp đồng mua bán,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,Hay hong,Nat/Can dap di,24,2.62
Hoài Đức,18.55,Khu dan cu,Full tho cu,69,7.8,5,5,6,14.3,Duong nhua,1,1,1,Nam,Chờ sổ,Thap,Bình thường,0,0,Không gần gì,Gần Bến xe Bus,Cơ bản,Can sua chua,Xuong cap nhe,28,6.06
Gia Lâm,10.92,Gan KCN,Full tho cu,55,7.9,5,10,6,7.6,Duong nhua,1,1,1,Tây Bắc,Hợp đồng mua bán,Thap,Bình thường,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,11,6.04
Đông Anh,12.65,Khu dan cu,Full tho cu,88,7.0,4,5,1,4.6,Duong be tong,1,1,1,Tây Bắc,Hợp đồng mua bán,Trung binh,Tốt,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,6,9.13
Hà Đông,15.5,Khu dan cu,Full tho cu,105,7.7,2,3,2,8.2,Duong nhua,1,1,1,Tây Nam,Vi bằng,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,15,16.75
Phúc Thọ,36.95,Trong lang xom,Tho cu + Dat vuon,182,9.4,1,2,2,3.5,Duong be tong,1,1,0,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,3,3.2
Nam Từ Liêm,14.77,Khu dan cu,Full tho cu,62,10.5,5,4,1,3.5,Duong be tong,1,1,1,Đông,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,3,11.52
Cầu Giấy,8.47,Khu dan cu dong duc,Full tho cu,78,3.3,4,5,3,1.9,Duong be tong,0,0,1,Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,Can sua chua,Nat/Can dap di,17,11.54
Tây Hồ,4.81,Khu dan cu dong duc,Full tho cu,113,12.0,5,10,1,3.7,Duong be tong,1,1,1,Tây Bắc,Chờ sổ,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,13,51.57
Thanh Oai,27.38,Khu dan cu,Full tho cu,96,8.5,3,4,5,4.8,Duong be tong,1,1,1,Nam,Vi bằng,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Binh thuong,20,6.96
Thanh Xuân,9.64,Khu dan cu dong duc,Full tho cu,82,11.3,2,4,3,5.9,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,5,19.14
Phúc Thọ,27.79,Gan lang nghe,Full tho cu,71,7.6,3,2,1,11.1,Duong nhua,1,1,1,Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),1,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Binh thuong,25,1.67
Mê Linh,32.99,Trong lang xom,Full tho cu,76,6.0,3,5,6,7.9,Duong nhua,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,1,4.04
Phúc Thọ,39.34,Gan lang nghe,Tho cu + Dat vuon,132,12.6,2,1,2,8.9,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,12,3.12
Thanh Xuân,9.48,Khu dan cu dong duc,Full tho cu,47,9.3,3,1,2,12.4,Duong nhua,1,0,1,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,15,11.89
Ba Đình,3.09,Khu dan cu dong duc,Full tho cu,80,8.0,6,4,5,2.6,Duong be tong,0,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,1,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,1,19.38
Mê Linh,29.62,Trong lang xom,Full tho cu,66,11.2,2,3,2,1.7,Duong dat,0,0,1,Bắc,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,5,1.96
